source,target,weight
872,1673,2
872,1981,1
872,2094,2
872,2197,1
872,2203,1
872,2204,1
872,2284,1
912,922,2
912,1928,1
912,2527,2
918,922,2
918,1928,1
918,2527,1
922,1928,1
935,1279,1
935,1374,1
935,1721,1
944,1081,1
944,1106,1
944,1126,1
944,1909,1
944,2075,1
944,2156,1
944,2247,1
944,2542,1
956,1002,1
956,1654,2
956,1816,3
956,1818,2
956,1922,2
956,2174,3
956,2176,4
956,2225,2
974,1068,1
974,1491,1
974,1648,1
974,1719,1
974,2310,1
974,2422,1
976,1361,1
976,2272,1
976,2286,2
976,2294,2
976,2339,3
985,1460,1
985,2432,1
996,1033,1
996,1679,1
996,2000,1
996,2505,1
1002,1654,1
1002,1683,1
1002,1816,1
1002,1818,1
1002,1922,2
1002,2062,1
1002,2109,1
1002,2174,2
1002,2176,1
1002,2325,1
1002,2374,3
1002,2558,1
1009,1033,1
1009,1034,1
1009,1194,2
1009,1405,1
1009,1589,1
1009,1621,1
1009,1679,1
1009,2108,1
1033,1194,1
1033,1405,1
1033,1867,1
1033,2108,1
1034,1777,1
1034,2108,1
1034,2310,1
1034,2325,1
1034,2491,1
1034,2505,1
1058,1184,1
1058,1277,2
1058,2197,1
1068,1867,1
1081,1912,1
1081,2075,2
1081,2156,2
1081,2404,1
1093,1382,1
1093,1405,1
1093,1589,1
1093,1687,1
1093,1760,1
1093,2062,2
1093,2108,1
1093,2241,1
1093,2303,1
1093,2373,1
1093,2374,1
1093,2491,1
1106,1126,1
1106,1909,2
1106,1912,1
1106,2109,1
1106,2113,1
1106,2156,1
1106,2432,1
1106,2542,1
1126,1909,1
1126,2542,1
1172,1491,1
1172,1679,1
1172,2099,1
1172,2203,1
1184,1274,1
1184,1277,2
1184,1683,1
1184,2062,1
1194,1405,1
1194,1589,2
1194,1621,1
1194,1679,1
1194,2108,1
1194,2384,1
1236,1491,1
1236,1776,1
1236,2128,2
1236,2203,1
1236,2303,1
1236,2310,1
1236,2311,2
1236,2425,1
1274,1382,1
1274,1760,1
1274,2062,1
1274,2225,1
1274,2422,1
1274,2527,1
1277,2197,1
1279,1721,1
1279,2325,1
1358,1621,1
1358,2425,1
1361,1669,1
1361,2225,1
1361,2286,1
1361,2294,1
1361,2339,1
1361,2343,1
1374,1721,2
1374,1945,2
1374,2434,1
1379,1462,2
1379,1673,2
1379,2094,1
1379,2203,1
1379,2204,1
1379,2284,2
1382,1621,1
1382,1687,1
1382,2075,1
1382,2225,1
1382,2241,1
1382,2303,1
1382,2470,1
1382,2505,1
1382,2527,1
1382,2542,1
1405,1589,1
1405,1687,1
1405,2108,2
1405,2491,1
1460,2225,1
1460,2432,1
1462,2197,1
1462,2204,1
1491,2203,2
1491,2303,1
1491,2310,1
1491,2425,1
1518,1739,1
1518,2325,1
1589,1621,1
1589,1679,2
1589,1687,1
1589,2000,1
1589,2384,2
1589,2491,3
1589,2558,1
1590,1808,1
1590,2343,1
1621,1679,1
1621,2505,1
1648,1683,1
1648,1719,1
1648,2062,1
1648,2373,2
1648,2374,1
1648,2384,1
1648,2422,1
1654,1816,1
1654,1818,3
1654,1922,2
1654,2174,3
1654,2176,2
1654,2225,1
1669,1739,2
1669,1756,1
1669,1912,1
1669,2286,1
1669,2294,1
1669,2341,1
1673,2094,2
1673,2204,1
1679,2000,2
1679,2099,1
1679,2491,1
1679,2558,1
1683,2062,2
1683,2373,1
1683,2374,1
1683,2558,1
1687,2491,1
1687,2505,1
1719,1808,1
1719,1818,1
1719,1928,1
1719,2143,1
1719,2422,1
1721,1945,2
1721,2434,1
1739,2000,1
1739,2341,1
1756,2286,1
1756,2294,1
1756,2534,1
1760,2225,1
1760,2343,1
1760,2422,1
1776,1789,2
1776,1867,1
1776,2128,1
1776,2311,2
1776,2382,3
1776,2415,1
1777,2108,1
1777,2325,1
1777,2491,2
1777,2505,1
1789,1867,1
1789,2382,2
1789,2415,1
1816,1818,1
1816,1922,2
1816,2174,2
1816,2176,3
1816,2225,2
1818,1922,2
1818,2174,3
1818,2176,2
1818,2225,1
1867,2382,1
1909,2075,1
1909,2247,1
1909,2432,1
1909,2470,1
1909,2542,1
1912,2075,1
